X [mm], Y [mm], Z [mm], Heading [degrees], Filename
34973, 8734, 65, -39.310, frame00000.jpg
34962, 8748, 65, -39.310, frame00001.jpg
34951, 8761, 65, -39.310, frame00002.jpg
34941, 8774, 65, -39.310, frame00003.jpg
34930, 8787, 65, -39.310, frame00004.jpg
34919, 8800, 65, -39.310, frame00005.jpg
34908, 8814, 65, -39.310, frame00006.jpg
34898, 8827, 65, -39.310, frame00007.jpg
34887, 8840, 65, -39.310, frame00008.jpg
34876, 8853, 65, -39.310, frame00009.jpg
34865, 8866, 65, -39.310, frame00010.jpg
34854, 8879, 65, -39.316, frame00011.jpg
34844, 8893, 65, -43.873, frame00012.jpg
34832, 8905, 65, -43.873, frame00013.jpg
34820, 8917, 65, -43.873, frame00014.jpg
34809, 8929, 65, -43.873, frame00015.jpg
34797, 8941, 65, -43.873, frame00016.jpg
34785, 8953, 65, -43.873, frame00017.jpg
34774, 8965, 65, -43.873, frame00018.jpg
34762, 8978, 65, -43.873, frame00019.jpg
34750, 8990, 65, -43.873, frame00020.jpg
34738, 9002, 65, -43.873, frame00021.jpg
34727, 9014, 65, -43.873, frame00022.jpg
34715, 9026, 65, -43.872, frame00023.jpg
34703, 9038, 65, -43.764, frame00024.jpg
34692, 9050, 65, -43.764, frame00025.jpg
34681, 9062, 65, -43.764, frame00026.jpg
34670, 9074, 65, -43.764, frame00027.jpg
34658, 9085, 65, -43.764, frame00028.jpg
34647, 9097, 65, -43.764, frame00029.jpg
34636, 9109, 65, -43.764, frame00030.jpg
34624, 9121, 65, -43.764, frame00031.jpg
34613, 9133, 65, -43.764, frame00032.jpg
34602, 9144, 65, -43.764, frame00033.jpg
34591, 9156, 65, -43.764, frame00034.jpg
34579, 9168, 65, -43.737, frame00035.jpg
34568, 9180, 65, -35.196, frame00036.jpg
34560, 9191, 65, -35.196, frame00037.jpg
34551, 9203, 65, -35.196, frame00038.jpg
34543, 9215, 65, -35.196, frame00039.jpg
34535, 9227, 65, -35.196, frame00040.jpg
34526, 9239, 65, -35.196, frame00041.jpg
34518, 9250, 65, -35.196, frame00042.jpg
34510, 9262, 65, -35.196, frame00043.jpg
34502, 9274, 65, -35.196, frame00044.jpg
34493, 9286, 65, -35.196, frame00045.jpg
34485, 9298, 65, -35.196, frame00046.jpg
34477, 9309, 65, -35.196, frame00047.jpg
34468, 9321, 65, -35.196, frame00048.jpg
34460, 9333, 65, -35.196, frame00049.jpg
34452, 9345, 65, -35.236, frame00050.jpg
34443, 9357, 65, -40.014, frame00051.jpg
34428, 9375, 65, -40.014, frame00052.jpg
34412, 9393, 65, -40.014, frame00053.jpg
34397, 9412, 65, -40.014, frame00054.jpg
34382, 9430, 65, -40.014, frame00055.jpg
34366, 9448, 65, -40.014, frame00056.jpg
34351, 9466, 65, -40.014, frame00057.jpg
34336, 9485, 65, -40.014, frame00058.jpg
34320, 9503, 65, -40.020, frame00059.jpg
34305, 9521, 65, -41.452, frame00060.jpg
34293, 9534, 65, -41.452, frame00061.jpg
34282, 9548, 65, -41.452, frame00062.jpg
34270, 9561, 65, -41.452, frame00063.jpg
34258, 9574, 65, -41.452, frame00064.jpg
34247, 9587, 65, -41.452, frame00065.jpg
34235, 9600, 65, -41.452, frame00066.jpg
34224, 9613, 65, -41.452, frame00067.jpg
34212, 9627, 65, -41.452, frame00068.jpg
34200, 9640, 65, -41.452, frame00069.jpg
34189, 9653, 65, -41.452, frame00070.jpg
34177, 9666, 65, -41.459, frame00071.jpg
34165, 9679, 65, -42.337, frame00072.jpg
34154, 9692, 65, -42.337, frame00073.jpg
34142, 9705, 65, -42.337, frame00074.jpg
34130, 9719, 65, -42.337, frame00075.jpg
34118, 9732, 65, -42.337, frame00076.jpg
34106, 9745, 65, -42.337, frame00077.jpg
34094, 9758, 65, -42.337, frame00078.jpg
34082, 9771, 65, -42.337, frame00079.jpg
34070, 9784, 65, -42.337, frame00080.jpg
34058, 9797, 65, -42.337, frame00081.jpg
34046, 9810, 65, -42.337, frame00082.jpg
34034, 9823, 65, -42.351, frame00083.jpg
34023, 9836, 65, -44.051, frame00084.jpg
34011, 9849, 65, -44.051, frame00085.jpg
33999, 9861, 65, -44.051, frame00086.jpg
33987, 9873, 65, -44.051, frame00087.jpg
33974, 9886, 65, -44.051, frame00088.jpg
33962, 9898, 65, -44.051, frame00089.jpg
33950, 9911, 65, -44.051, frame00090.jpg
33938, 9923, 65, -44.051, frame00091.jpg
33926, 9936, 65, -44.051, frame00092.jpg
33914, 9948, 65, -44.051, frame00093.jpg
33902, 9960, 65, -44.051, frame00094.jpg
33890, 9973, 65, -44.071, frame00095.jpg
33878, 9985, 65, -46.637, frame00096.jpg
33868, 9995, 65, -46.637, frame00097.jpg
33858, 10004, 65, -46.637, frame00098.jpg
33848, 10013, 65, -46.637, frame00099.jpg
33839, 10023, 65, -46.637, frame00100.jpg
33829, 10032, 65, -46.637, frame00101.jpg
33819, 10042, 65, -46.637, frame00102.jpg
33809, 10051, 65, -46.637, frame00103.jpg
33799, 10060, 65, -46.637, frame00104.jpg
33789, 10070, 65, -46.637, frame00105.jpg
33779, 10079, 65, -46.637, frame00106.jpg
33769, 10089, 65, -46.637, frame00107.jpg
33759, 10098, 65, -46.637, frame00108.jpg
33749, 10108, 65, -46.637, frame00109.jpg
33739, 10117, 65, -46.450, frame00110.jpg
33729, 10126, 65, -36.702, frame00111.jpg
33715, 10145, 65, -36.702, frame00112.jpg
33701, 10164, 65, -36.702, frame00113.jpg
33687, 10183, 65, -36.702, frame00114.jpg
33673, 10202, 65, -36.702, frame00115.jpg
33659, 10220, 65, -36.702, frame00116.jpg
33645, 10239, 65, -36.702, frame00117.jpg
33631, 10258, 65, -36.702, frame00118.jpg
33617, 10277, 65, -36.726, frame00119.jpg
33603, 10296, 65, -39.316, frame00120.jpg
33591, 10310, 65, -39.316, frame00121.jpg
